"Dosya","LineNumber","Icerik"
"app\migrations\001_legacy_5055_kolonlari.py","3","001_legacy_5055_kolonlari.py"
"app\migrations\001_legacy_5055_kolonlari.py","5","CPS uretim_kayit tablosuna 5055 import altyapisi."
"app\migrations\001_legacy_5055_kolonlari.py","8","5055 DB'sine ASLA dokunmaz."
"app\migrations\001_legacy_5055_kolonlari.py","32","""WHERE kaynak = 'LEGACY_5055'""),"
"app\migrations\002_personel_kullanici.py","6","2. 5055'ten aktif=1 personelleri import et (INSERT OR IGNORE)"
"app\migrations\002_personel_kullanici.py","8","5055 DB'ye DOKUNMAZ - READ ONLY."
"app\migrations\002_personel_kullanici.py","13","DB_5055 = r""D:\Ortak\Solariz-ARGE\solariz.db"""
"app\migrations\002_personel_kullanici.py","15","KAYNAK_LEGACY = ""LEGACY_5055"""
"app\migrations\002_personel_kullanici.py","74","""WHERE kaynak = 'LEGACY_5055'"")"
"app\migrations\002_personel_kullanici.py","85","# 2) 5055'ten READ-ONLY import"
"app\migrations\002_personel_kullanici.py","87","log(""--- 5055'ten aktif=1 personeller okuma ---"")"
"app\migrations\002_personel_kullanici.py","88","uri = ""file:"" + DB_5055.replace(""\\"", ""/"") + ""?mode=ro&nolock=1"""
"app\migrations\002_personel_kullanici.py","89","c5055 = sqlite3.connect(uri, uri=True, timeout=5)"
"app\migrations\002_personel_kullanici.py","90","c5055.row_factory = sqlite3.Row"
"app\migrations\002_personel_kullanici.py","92","rows = c5055.execute("""""""
"app\migrations\002_personel_kullanici.py","124","c5055.close()"
"app\migrations\005_module_registry.py","49","(""canli_saha"",              ""Canli Saha (5055)"",    ""5055 canli saha viewer"",               None,            ""Uretim"",   ""radio"",           ""/canli-saha/"",                 ""canli_saha"", 70, 1, 0, 0, ""canli_saha"",                  ""canli_saha""),"
"app\migrations\007_sistem_yetki_seed.py","41","(""canli_saha"",                ""Canli Saha (5055)"",       ""5055 canli saha viewer"",        ""canli_saha"", None,              142),"
"app\modules\canli_saha\routes.py","3","CANLI SAHA - LEGACY_5055 Read-Only Bridge"
"app\modules\canli_saha\routes.py","5","5055 (solariz.db) uretim_kayit verisini 8080 icinde READ-ONLY gosterir."
"app\modules\canli_saha\routes.py","6","5055'e ASLA yazma yapilmaz. SQLite URI mode=ro&nolock=1 kullanilir."
"app\modules\canli_saha\routes.py","16","# 5055 DB yolu (local D:\Ortak kullaniliyor, network share alias)"
"app\modules\canli_saha\routes.py","17","LEGACY_5055_DB = r""D:\Ortak\Solariz-ARGE\solariz.db"""
"app\modules\canli_saha\routes.py","34","""""""5055 DB'ye READ-ONLY baglan. Hata atarsa None doner."""""""
"app\modules\canli_saha\routes.py","35","if not os.path.exists(LEGACY_5055_DB):"
"app\modules\canli_saha\routes.py","36","return None, ""5055 DB bulunamadi: "" + LEGACY_5055_DB"
"app\modules\canli_saha\routes.py","38","uri = ""file:"" + LEGACY_5055_DB.replace(""\\"", ""/"") + ""?mode=ro&nolock=1"""
"app\modules\canli_saha\routes.py","43","return None, ""5055 baglanti hatasi: "" + str(e)[:120]"
"app\modules\canli_saha\routes.py","57","JSON endpoint - 5055 uretim_kayit READ-ONLY veri."
"app\modules\canli_saha\routes.py","67","""kaynak"": ""LEGACY_5055"","
"app\modules\canli_saha\routes.py","90","""kaynak"": ""LEGACY_5055"","
"app\modules\canli_saha\routes.py","130","""kaynak"": ""LEGACY_5055"","
"app\modules\canli_saha\routes.py","131","""id_5055"": r[""id""],"
"app\modules\canli_saha\routes.py","155","""kaynak"": ""LEGACY_5055"","
"app\modules\canli_saha\routes.py","172","""kaynak"": ""LEGACY_5055"","
"app\modules\canli_saha\__init__.py","1","# canli_saha modulu - LEGACY_5055 read-only bridge"
"app\modules\personel_giris\routes.py","7","5055 ile birebir uyumlu API:"
"app\modules\personel_giris\routes.py","15","GET  /personel-giris/prosesler/<no>    -> Emir prosesleri (5055 emir_proses tablosu)"
"app\modules\personel_giris\routes.py","33","# Kaynak 5055 DB (gercek lokasyon)"
"app\modules\personel_giris\routes.py","34","DB_5055_KAYNAK = r""D:\Ortak\Solariz-ARGE\solariz.db"""
"app\modules\personel_giris\routes.py","36","DB_5055_SNAPSHOT = r""D:\Firma_Ozel\adem\Solariz_CPS_SERVER\app\5055_snapshot\solariz.db"""
"app\modules\personel_giris\routes.py","37","DB_5055 = DB_5055_SNAPSHOT  # Geriye uyumluluk"
"app\modules\personel_giris\routes.py","54","def _refresh_5055_snapshot_if_stale():"
"app\modules\personel_giris\routes.py","58","if not os.path.exists(DB_5055_SNAPSHOT):"
"app\modules\personel_giris\routes.py","59","os.makedirs(os.path.dirname(DB_5055_SNAPSHOT), exist_ok=True)"
"app\modules\personel_giris\routes.py","60","if os.path.exists(DB_5055_KAYNAK):"
"app\modules\personel_giris\routes.py","61","shutil.copy2(DB_5055_KAYNAK, DB_5055_SNAPSHOT)"
"app\modules\personel_giris\routes.py","63","snap_age = time.time() - os.path.getmtime(DB_5055_SNAPSHOT)"
"app\modules\personel_giris\routes.py","65","if os.path.exists(DB_5055_KAYNAK):"
"app\modules\personel_giris\routes.py","67","shutil.copy2(DB_5055_KAYNAK, DB_5055_SNAPSHOT)"
"app\modules\personel_giris\routes.py","74","def _5055_conn():"
"app\modules\personel_giris\routes.py","75","""""""5055 READ-ONLY baglantisi - SNAPSHOT lokal kopyadan oku."""""""
"app\modules\personel_giris\routes.py","76","_refresh_5055_snapshot_if_stale()"
"app\modules\personel_giris\routes.py","77","uri = ""file:"" + DB_5055_SNAPSHOT.replace(""\\"", ""/"") + ""?mode=ro&nolock=1"""
"app\modules\personel_giris\routes.py","132","# Case-insensitive lookup (5055'te 'halil kıraç' format)"
"app\modules\personel_giris\routes.py","205","2) 5055 emir_proses MAX(limit_miktar) (proses_adi NOT LIKE '%.%')"
"app\modules\personel_giris\routes.py","227","# B) 5055 emir_proses fallback"
"app\modules\personel_giris\routes.py","230","c5055 = _5055_conn()"
"app\modules\personel_giris\routes.py","231","row = c5055.execute("""""""
"app\modules\personel_giris\routes.py","237","c5055.close()"
"app\modules\personel_giris\routes.py","326","# 8. PROSESLER - bir emir'in alt prosesleri (5055 emir_proses tablosu)"
"app\modules\personel_giris\routes.py","330","""""""5055'in emir_proses tablosundan oku - 5055 hala usta panel ile guncelliyor olabilir."""""""
"app\modules\personel_giris\routes.py","332","# Once 5055 emir_proses'ten oku (READ-ONLY)"
"app\modules\personel_giris\routes.py","333","c5055 = _5055_conn()"
"app\modules\personel_giris\routes.py","335","rows = c5055.execute("""""""
"app\modules\personel_giris\routes.py","342","c5055.close()"
"app\modules\personel_giris\__init__.py","5","Personel uretim giris ekrani (eski 5055 telefon UI'sinin CPS karsiligi)."
"app\scripts\import_5055_bugun.py","3","import_5055_bugun.py"
"app\scripts\import_5055_bugun.py","5","5055 solariz.db -> CPS mock_data.db"
"app\scripts\import_5055_bugun.py","8","5055 DB'sine YAZMAZ - sadece READ ONLY okuma."
"app\scripts\import_5055_bugun.py","18","DB_5055 = r""D:\Ortak\Solariz-ARGE\solariz.db"""
"app\scripts\import_5055_bugun.py","22","KAYNAK_LABEL    = ""LEGACY_5055"""
"app\scripts\import_5055_bugun.py","36","log(""FAZ 2A - 5055 BUGUNKU KAYIT IMPORT"")"
"app\scripts\import_5055_bugun.py","40","if not os.path.exists(DB_5055):"
"app\scripts\import_5055_bugun.py","41","log(f""5055 DB yok: {DB_5055}"", ""ERR"")"
"app\scripts\import_5055_bugun.py","57","# 3) 5055 READ-ONLY baglan"
"app\scripts\import_5055_bugun.py","58","uri_5055 = ""file:"" + DB_5055.replace(""\\"", ""/"") + ""?mode=ro&nolock=1"""
"app\scripts\import_5055_bugun.py","60","c5055 = sqlite3.connect(uri_5055, uri=True, timeout=5)"
"app\scripts\import_5055_bugun.py","61","c5055.row_factory = sqlite3.Row"
"app\scripts\import_5055_bugun.py","62","log(""5055 baglanti (READ ONLY)"", ""OK"")"
"app\scripts\import_5055_bugun.py","64","log(f""5055 baglanti hatasi: {e}"", ""ERR"")"
"app\scripts\import_5055_bugun.py","73","c5055.close()"
"app\scripts\import_5055_bugun.py","84","log(f""  LEGACY_5055 kayit  : {once_legacy}"")"
"app\scripts\import_5055_bugun.py","86","# 6) 5055'ten bugunku kayitlari oku"
"app\scripts\import_5055_bugun.py","88","log(""--- 5055'ten BUGUN kayitlari okuma ---"")"
"app\scripts\import_5055_bugun.py","89","rows = c5055.execute("""""""
"app\scripts\import_5055_bugun.py","101","c5055.close()"
"app\scripts\import_5055_bugun.py","169","log(f""  LEGACY_5055 kayit  : {sonra_legacy} (+{sonra_legacy-once_legacy})"")"
"app\scripts\import_5055_bugun.py","207","c5055.close()"
"app\scripts\import_5055_full.py","3","import_5055_full.py"
"app\scripts\import_5055_full.py","5","5055 solariz.db -> CPS mock_data.db"
"app\scripts\import_5055_full.py","9","5055 DB'sine YAZMAZ."
"app\scripts\import_5055_full.py","17","DB_5055 = r""D:\Ortak\Solariz-ARGE\solariz.db"""
"app\scripts\import_5055_full.py","21","KAYNAK_LABEL    = ""LEGACY_5055"""
"app\scripts\import_5055_full.py","32","log(""FAZ 2C - 5055 FULL IMPORT"")"
"app\scripts\import_5055_full.py","35","if not os.path.exists(DB_5055):"
"app\scripts\import_5055_full.py","36","log(f""5055 DB yok: {DB_5055}"", ""ERR"")"
"app\scripts\import_5055_full.py","49","# 5055 READ-ONLY"
"app\scripts\import_5055_full.py","50","uri_5055 = ""file:"" + DB_5055.replace(""\\"", ""/"") + ""?mode=ro&nolock=1"""
"app\scripts\import_5055_full.py","51","c5055 = sqlite3.connect(uri_5055, uri=True, timeout=10)"
"app\scripts\import_5055_full.py","52","c5055.row_factory = sqlite3.Row"
"app\scripts\import_5055_full.py","53","log(""5055 baglanti (READ ONLY)"", ""OK"")"
"app\scripts\import_5055_full.py","68","log(f""  LEGACY_5055 kayit  : {once_legacy}"")"
"app\scripts\import_5055_full.py","70","# 5055'ten TUM kayitlari oku"
"app\scripts\import_5055_full.py","72","log(""--- 5055'ten TUM kayitlari okuma ---"")"
"app\scripts\import_5055_full.py","73","rows = c5055.execute("""""""
"app\scripts\import_5055_full.py","158","log(f""  LEGACY_5055 kayit  : {sonra_legacy} (+{sonra_legacy-once_legacy})"")"
"app\scripts\import_5055_full.py","168","log(""--- LEGACY_5055 onay dagilimi ---"")"
"app\scripts\import_5055_full.py","172","WHERE kaynak='LEGACY_5055'"
"app\scripts\import_5055_full.py","182","FROM uretim_kayit WHERE kaynak='LEGACY_5055'"
"app\scripts\import_5055_full.py","186","# 5055 ile karsilastir"
"app\scripts\import_5055_full.py","187","r55 = c5055.execute(""SELECT MIN(id), MAX(id), COUNT(*) FROM uretim_kayit"").fetchone()"
"app\scripts\import_5055_full.py","188","log(f""  5055 Min: {r55[0]}  Max: {r55[1]}  Toplam: {r55[2]}"")"
"app\scripts\import_5055_full.py","216","c5055.close()"
"app\static\js\canli_saha.js","1","/* ===== CANLI SAHA (5055) READ-ONLY BRIDGE ===== */"
"app\static\js\canli_saha.js","2","/* Vanilla JS - jQuery yok, izole - LEGACY_5055 verisini gosterir */"
"app\static\js\canli_saha.js","111","hataGoster(data.hata || '5055 erisilemiyor');"
"app\templates\canli_saha\index.html","6","<title>Canli Saha (5055) - Solariz CPS</title>"
"app\templates\canli_saha\index.html","14","<h1>📡 Canli Saha (5055)</h1>"
"app\templates\canli_saha\index.html","15","<div class=""cs-badge"">LEGACY_5055 · READ-ONLY</div>"
"app\templates\canli_saha\index.html","19","Bu sayfa 5055 sisteminden gercek zamanli uretim verisini gosterir."
"app\templates\canli_saha\index.html","21","Onay icin asil 5055 ekrani veya CPS Hedef paneli kullanilmalidir."
"app\templates\personel_giris\index.html","240","// Solariz Raporlama — yalnizca 5055 portuna baglanir, Korgun bagimliligi yok"
"app\templates\personel_giris\index.html","355","// ── EMİR SORGULA — sadece 5055, Korgun bağımlılığı yok ──"
"app\templates\index.html","71","<div class=""hk-sub"">Faz 3+ (mevcut port 5055)</div>"
"docs\CPS_MODUL_YETKI_STANDARDI_v1.md","209","- `uretim_kayit` tablosunda `kaynak` alanı zorunlu: `LEGACY_5055`, `CPS_CANLI`,"
"docs\D4.8_SOIS_MIMARI.md","32","PDKS, 5055, Korgun — hepsi **veri kaynağıdır**. CPS, **otorite** sahibidir. Veri akış yönü: dış sistem → CPS enrichment. Override CPS'te."
"docs\D4.8_SOIS_MIMARI.md","146","| NULL legacy (5055'ten gelmemiş) | 5 kayıt | test, anwar, çetin göler, serhat, çetin görler |"
"docs\D4.8_SOIS_MIMARI.md","175","KaynakSistem TEXT NOT NULL,            -- '5055', 'pdks', 'korgun', 'manuel', 'auto'"
"docs\D4.8_SOIS_MIMARI.md","176","LegacyId INTEGER,                       -- 5055 ID veya başka legacy"
"docs\D4.8_SOIS_MIMARI.md","338","PRODUKTION  (PDKS+5055+CPS)"
"docs\D4.8_SOIS_MIMARI.md","397","KaynakSistem TEXT,             -- 'cps', 'pdks', '5055', 'manuel', 'trigger'"
"docs\D4.8_SOIS_MIMARI.md","732","Notlar='5055\'ten import edilmemiş. Son görülme: ' + son_gorulme,"
"docs\MODULE_REGISTRY_PLAN.md","301","| canli_saha | Canli Saha (5055) | Uretim | /canli-saha/ | NULL | 0 |"
"docs\YETKI_SISTEMI_V2_ANALIZ.md","199","| canli_saha | Canli Saha (5055) | Uretim | /canli-saha/ | radio | 1 |"
"CPS_OPERASYON_RAPORU_RECON.py","113","dirs[:] = [d for d in dirs if d not in (""__pycache__"", ""backups"", ""venv"", "".venv"", ""node_modules"", "".git"", ""yedekler"", ""5055_snapshot"")]"
